,,,,,,Average,,,,,,,,min,max
0,,,,,,,,,,,,,,,
Des,,,,,,0,,,,,,,,0,0
Acc,,,,,,0,,,,,,,,0,0
,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
Des,,,,,,4000,,,,,,,,10,15
Acc,,,,,,4000,,,,,,,,20,20
,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
Des,,,,,,8000,,,,,,,,25,30
Acc,,,,,,8000,,,,,,,,35,40
,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
Des,,,,,,12000,,,,,,,,40,55
Acc,,,,,,11000,,,,,,,,65,75
,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
Des,,,,,,16000,,,,,,,,75,90
Acc,,,,,,14000,,,,,,,,95,110
,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
Des,22886,22886,23432,,,23068,,,240,240,240,,,240,240
Acc,22886,22886,23432,,,28136,,first sensor,240,240,240,,,240,240
,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
Des,28136,28136,28136,,,28136,,,320,320,320,,,320,320
Acc,28136,28136,28136,,,34388.3333333333,,first sensor,320,320,320,,,320,320
,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
Des,33982,33982,33982,,,33982,,,400,400,400,,,400,400
Acc,33982,35201,33982,,,39447,,first sensor,400,400,400,,,400,400
,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
Des,39447,41099,39447,,,39997.6666666667,,,440,440,440,,,440,440
Acc,39447,39447,39447,,,45573,,first sensor,432,427,425,,,425,427
,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
Des,44857,47005,47005,,,46289,,,482,475,485,,,475,485
Acc,47005,44857,44857,,,51986,,first sensor,450,460,440,,,440,460
,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
Des,51986,51986,51986,,,51986,,,595,609,585,,,585,609
Acc,51986,51986,51986,,,57063.6666666667,,first sensor,585,600,595,,,585,600
,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
Des,58148,54895,54895,,,55979.3333333333,,,795,785,790,,,785,795
Acc,54895,58148,58148,,,57063.6666666667,,first sensor,715,730,728,,,715,730
,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
Des,61811,61811,61811,,,61811,,first sensor,962,960,962,,,960,962
Acc,61811,61811,61811,,,61811,,,856,873,889,,,856,889
,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
Des,65966,65966,61811,,,64581,,switch,212,132,192,,,988,1068
Acc,65966,65966,61811,,,64581,,,234,229,251,,,1085,1107
,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
Des,65966,65966,65966,,,65966,,switch,410,350,390,,,1206,1266
Acc,65966,61811,65966,,,64581,,,,,,,,,
